ncols         10
nrows         10
xllcorner     2487289.5023187
yllcorner     4519797.0771414
cellsize      10.0
NODATA_value  0.00
0.00 0.00 0.00 0.00 0.00 0.30 0.40 0.50 0.90 1.00 
0.00 0.00 0.00 0.00 0.00 0.30 0.40 0.70 0.80 0.90 
0.00 0.00 0.00 0.00 0.00 0.30 0.60 0.60 0.70 0.50 
0.00 0.00 0.00 0.00 0.00 0.30 0.50 0.60 0.40 0.00 
0.00 0.00 0.00 0.00 0.10 0.30 0.50 0.50 0.50 0.50 
0.00 0.00 0.00 0.00 0.10 0.20 0.30 0.00 0.50 0.50 
0.00 0.00 0.00 0.00 0.10 0.10 0.30 0.30 0.30 0.50 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
